team_name,player_name,starting_position,xT_value,minutes_played
Ceara,Antonio Galeano,AMR,0.8000854646757739,1903
Gremio,Cristian Pavón,Sub,0.7806956560138097,602
Juventude,Reginaldo Lopes,Sub,0.7777544025247077,1053
Flamengo,Jorginho,DMC,0.77655738185854,711
Mirassol,José Aldo,Sub,0.7725154564428288,816
Botafogo RJ,Cuiabano,Sub,0.7722231253617475,720
Vasco da Gama,Hugo Moura,DMC,0.7661767885897376,1676
Ceara,Fernando Sobral,DMC,0.7650730743510452,1190
Vasco da Gama,Tchê Tchê,Sub,0.7611262457180579,1378
Flamengo,Nicolás de la Cruz,DMC,0.7592038037471426,693
Mirassol,Alesson,Sub,0.7531112077886777,262
Flamengo,Gerson,AMR,0.7527408870534644,740
Juventude,Marcelo Hermes,DL,0.7485667275684386,857
Fluminense,Thiago Silva,DC,0.746236897219413,1136
Juventude,Ênio,ML,0.7447543067059096,859
Cruzeiro,Lucas Villalba,Sub,0.7288668870552203,1883
Santos FC,João Pedro Chermont,DR,0.7287818242246142,290
Gremio,Wagner Leonardo,DC,0.7246968270382657,1786
Fortaleza,Tomás Pochettino,Sub,0.7220756801136269,682
Bahia,Kayky,Sub,0.7098415839571143,540
Gremio,Alysson Edward,Sub,0.7079674844389984,1025
Mirassol,Carlos Eduardo,Sub,0.7067282765362835,230
Santos FC,Souza,DL,0.701620938367111,845
Corinthians,Raniele,Sub,0.698926813209247,1303
Botafogo RJ,Álvaro Montoro,AML,0.6910596953968974,632
Mirassol,Gabriel,Sub,0.6862505070308299,1070
Vitoria,Osvaldo,Sub,0.6824361234125518,757
Fortaleza,Yago Pikachu,DR,0.6763821950906209,1056
Fluminense,Martinelli,DMC,0.675785411152957,1528
Sao Paulo,Sabino,DC,0.6757505238234615,1218
Gremio,Lucas Esteves,DL,0.6753198946166544,562
Flamengo,Samuel Lino,AML,0.6732617185361807,333
Sport Recife,Du Queiroz,MC,0.6712677883395022,674
Sao Paulo,Luciano,FW,0.6688785855523103,1335
Atletico MG,Lyanco,DC,0.6617461282570749,1215
Vitoria,Raúl Cáceres,Sub,0.6547418214656814,714
Santos FC,Gabriel Bontempo,DMC,0.6496025966821632,1002
Fortaleza,Gastón Ávila,Sub,0.6446220397622562,913
Palmeiras,Maurício,Sub,0.6394833733160948,766
Juventude,Emerson Batalla,MR,0.6358466821723012,1329
Vasco da Gama,Lucas Freitas,Sub,0.6335959078833867,1379
Palmeiras,Ramón Sosa,Sub,0.6332805387197863,289
